SourceName,Latitude,Longitude,AirTemperature
Pijava Gorica,45.950867,14.571847,5
Zala,45.96964,14.064986,5.3
Podplat,46.244827,15.575197,-0.1
Medvode,46.14327,14.411669,1.3
Korensko Sedlo,46.51517,13.751047,1
Col,45.881077,13.998606,7
Podvin,46.340714,14.210504,-2
Pivka,45.66857,14.1909,7
Colnarji,45.49773,14.892697,5.1
Ljubelj,46.430416,14.268413,2
Trebija,46.095577,14.100426,2
Panovec,45.945507,13.645225,11
Marno,46.14,15.141628,1
Lokve,46.0111,13.791221,4.8
Metlika,45.639427,15.321465,2
Valeta,45.51663,13.601781,11.3
Šentrupert,46.25025,15.07561,-1
Črni Kal,45.55167,13.872213,10
Starod,45.49345,14.1995,11
Mislinja,46.4358,15.190347,0
Elblov klanec zahod,46.59619,15.853314,0
Kobarid,46.24614,13.584139,2.1
Vrhnika,45.95883,14.289256,0
Kranj,46.23791,14.350043,-1
Bohinjska Bistrica,46.278038,13.95246,-2
Gorenje Podpoljane,45.81141,14.667542,4
Dolga vas,46.59313,16.45893,-0.5
Lomanoše,46.67583,15.95752,5
Petrovo Brdo,46.21522,13.99929,2.2
Zgornje Jezersko,46.39497,14.50067,-1.1
Dragatuš,45.519493,15.17533,2.3
Hodoš,46.82174,16.3259,0
Dovje,46.465073,13.94374,0
Iga Vas,45.69378,14.48242,4
Rateče,46.49434,13.72073,-1
Učja,46.2987,13.43687,4
Rožna Dolina,45.94182,13.63625,12
Robič,46.21867,13.49981,2.8
Gederovci,46.678635,16.050486,0
Šentilj,46.683956,15.648938,-1
Kuzma,46.839134,16.056084,-0.1
Trate,46.70671,15.786106,1
Prosenjakovci,46.747955,16.326359,-0.5
Čepinci,46.87181,16.225077,-0.3
Kobilje,46.695164,16.414923,0
Ižanska cesta,46.00988,14.51366,4.2
Krvavi Potok,45.622078,13.904338,9.8
Bizeljsko,46.04618,15.68215,-1
Brezovica,46.024048,14.416984,4
Vodice,46.186314,14.489623,0
Ljubelj MP,46.43274,14.260141,4.2
Zgornje Jezersko MP,46.418728,14.5268135,1
Radelj,46.644554,15.206262,-4
Vrhnika AC priključek,45.969234,14.299966,4
Neblo,46.00349,13.48662,7
Brezovica AC prključek,46.0277,14.434196,3
Lazaret,45.5941,13.72407,11
Poljana,46.54547,14.86963,-3
Postojna,45.76999,14.198455,7
Rakitna,45.890347,14.435297,5
Moste pri Komendi,46.195343,14.543935,1
Kresnice,46.107304,14.786481,3
Podčetrtek,46.166084,15.605054,-2
Rogaška Slatina,46.220257,15.639498,0
Kapelski vrh,46.620995,16.032942,0
Mačkovci,46.77663,16.161875,0
Male Rebrce,45.85669,14.8814,4
Trbovlje,46.12557,15.03719,1
Vurmat,46.58299,15.44486,6
Travnik,46.0693,13.99402,2
Črna na Koroškem,46.47836,14.85279,-2
Divača,45.679466,13.970324,6
Slovenska Vas,45.84454,15.687447,1
Rigonce,45.893414,15.677161,1
Krško,45.956474,15.486302,1
Polica,46.262493,14.333338,0
Lesce,46.363674,14.150162,9
Učak,46.18394,14.871901,2
Krtina 1,46.152496,14.652592,1
Želodnik,46.158485,14.643352,0
Vir pri Domžalah,46.150436,14.616817,1
Koper,45.5342,13.735384,12
Boštanj,46.013016,15.29018,1
Lavrica,46.0012,14.55448,4
Škofljica,45.98408,14.5745735,5
Dragomer,46.017597,14.387126,4
Postojna AC priključek,45.76135,14.195524,6
Logatec,45.91942,14.228795,5
Fram,46.45332,15.642432,-1.1
Črnivec,46.260784,14.702531,2.5
Bled,46.368145,14.11288,3.6
Mirna Peč 1,45.868595,15.095543,0.8
Čatež ob Savi,45.89232,15.602631,1.1
Mangart,46.429058,13.610772,1.9
Dobova,45.896896,15.66201,0.8
Jesenice,46.44182,14.038052,1.9
Mali Hrib,46.220108,14.773599,3
Lukovica,46.168015,14.689695,1.8
Vič pri Dravogradu,46.598583,14.994917,0.1
Kope,46.50223,15.207767,2
Obrov – Male Loče,45.54005,14.104167,8.6
Poklek pri Podsredi,46.032795,15.565618,-1.2
Počivališče Pragersko,46.39633,15.627887,-0.3
Spodnje Stranice,46.34597,15.340616,-0.9
Pečica,46.26662,15.558989,-0.4
Žegar,46.13275,15.45588,0.8
Planina pri Sevnici,46.10086,15.41134,3.1
Lučine,46.061768,14.1963,5
Kladje,46.110306,14.013334,4.8
OC Ločica,45.87141,14.61561,4.6
Trebeljevo,46.012585,14.738536,3.9
Vurberk,46.4892,15.797118,-0.8
Špitalič,46.21546,14.83337,0.3
Zavodnje,46.42458,15.01702,2.3
Solčava,46.419674,14.693508,-0.3
Jurklošter,46.09332,15.33436,0.2
Novine,46.683556,15.660493,0
Spodnji Brnik,46.228283,14.485191,0.2
Nova vas,45.77287,14.506178,4.8
Kopivnik,46.459644,15.609161,-1.5
Gobovce,46.293457,14.261751,-0.5
Hrib - Loški potok,45.701057,14.590991,3.2
Parecag,45.482967,13.623295,10.6
Jelšane,45.502865,14.271545,9
Pivka (rondo),45.685665,14.196659,7.1
Ormož,46.41119,16.167446,-0.2
Ptuj,46.4147,15.88444,0
Ribnica na Pohorju,46.535667,15.26896,-1.6
Kromberk,45.957237,13.663103,7.6
Predel,46.41873,13.578803,0.5
Razdrto,45.756863,14.047995,7
Dolenja Nemška vas,45.900345,15.04161,1
Središče ob Dravi,46.39851,16.25,-0.1
Kranj Labore,46.22618,14.354858,1.2
Trzin,46.133255,14.566956,0.7
